iter	Passed	Remaining
0	2	802
1	4	704
2	6	675
3	8	656
4	10	644
5	12	636
6	15	628
7	17	621
8	19	617
9	21	615
10	23	612
11	25	610
12	27	608
13	29	606
14	31	602
15	33	600
16	35	597
17	37	594
18	40	592
19	42	589
20	44	587
21	46	584
22	48	582
23	50	579
24	52	576
25	54	574
26	56	571
27	58	569
28	60	567
29	62	565
30	64	563
31	66	560
32	69	558
33	71	556
34	73	554
35	75	551
36	77	549
37	79	547
38	81	545
39	83	542
40	85	540
41	87	538
42	89	536
43	91	534
44	93	532
45	96	530
46	98	527
47	100	525
48	102	523
49	106	532
50	108	531
51	111	529
52	113	527
53	115	525
54	117	522
55	119	520
56	121	518
57	123	515
58	125	513
59	127	510
60	129	508
61	131	506
62	133	503
63	136	501
64	138	499
65	140	497
66	142	494
67	144	492
68	146	490
69	148	488
70	150	485
71	152	483
72	154	481
73	156	478
74	158	476
75	160	474
76	162	472
77	165	469
78	167	467
79	169	465
80	171	463
81	173	460
82	175	458
83	177	456
84	179	454
85	181	451
86	183	449
87	185	447
88	187	445
89	189	443
90	191	440
91	194	438
92	196	436
93	198	434
94	200	432
95	202	429
96	204	427
97	206	425
98	208	423
99	210	420
100	212	418
101	214	416
102	216	414
103	218	412
104	220	410
105	222	407
106	224	405
107	227	403
108	229	401
109	231	399
110	233	397
111	235	395
112	237	392
113	239	390
114	241	388
115	243	386
116	245	384
117	247	382
118	249	379
119	251	377
120	253	375
121	256	373
122	258	371
123	260	369
124	262	367
125	264	365
126	266	362
127	268	360
128	270	358
129	272	356
130	274	354
131	276	352
132	278	350
133	281	348
134	283	346
135	285	343
136	287	341
137	289	339
138	291	337
139	293	335
140	295	333
141	297	331
142	299	329
143	301	327
144	304	325
145	306	322
146	308	320
147	310	318
148	312	316
149	314	314
150	316	312
151	318	310
152	320	308
153	322	306
154	324	304
155	327	301
156	329	299
157	331	297
158	333	295
159	335	293
160	337	291
161	339	289
162	341	287
163	343	285
164	345	282
165	347	280
166	350	278
167	352	276
168	354	274
169	356	272
170	358	270
171	360	268
172	362	266
173	364	264
174	366	261
175	368	259
176	370	257
177	372	255
178	375	253
179	377	251
180	379	249
181	381	247
182	383	245
183	385	243
184	387	241
185	389	238
186	391	236
187	393	234
188	395	232
189	398	230
190	400	228
191	402	226
192	404	224
193	406	222
194	408	219
195	410	217
196	412	215
197	414	213
198	416	211
199	418	209
200	420	207
201	423	205
202	425	203
203	427	201
204	429	198
205	431	196
206	433	194
207	435	192
208	437	190
209	439	188
210	442	186
211	444	184
212	446	182
213	448	180
214	450	178
215	452	175
216	454	173
217	456	171
218	458	169
219	460	167
220	462	165
221	464	163
222	467	161
223	469	159
224	471	157
225	473	155
226	475	152
227	477	150
228	479	148
229	481	146
230	483	144
231	486	142
232	488	140
233	490	138
234	492	136
235	494	134
236	496	131
237	498	129
238	500	127
239	502	125
240	505	123
241	507	121
242	509	119
243	511	117
244	513	115
245	515	113
246	517	111
247	519	108
248	521	106
249	523	104
250	525	102
251	527	100
252	529	98
253	532	96
254	534	94
255	536	92
256	538	90
257	540	87
258	542	85
259	544	83
260	546	81
261	548	79
262	550	77
263	552	75
264	554	73
265	557	71
266	559	69
267	561	67
268	563	64
269	565	62
270	567	60
271	569	58
272	571	56
273	573	54
274	576	52
275	578	50
276	580	48
277	582	46
278	584	43
279	586	41
280	588	39
281	590	37
282	592	35
283	594	33
284	597	31
285	599	29
286	601	27
287	603	25
288	605	23
289	607	20
290	609	18
291	611	16
292	613	14
293	615	12
294	617	10
295	619	8
296	622	6
297	624	4
298	626	2
299	628	0
